Emoji,Nome,Qtd,Status
✝️,Vida de Jesus,12 histórias,✅ Ativo
📖,Bíblia Kids,48 histórias,✅ Ativo
💤,Hora de Dormir,28 histórias,✅ Ativo
❤️,Sentimentos,18 histórias,✅ Ativo
👩‍🦸,Mulheres Fortes,15 histórias,✅ Ativo
🔬,Inventores & Gênios,20 histórias,✅ Ativo
📚,Clássicos Infantis,24 histórias,"✅ Ativo + badge ""Novo ✨"" dourado"
🌍,Países & Culturas,30 histórias,✅ Ativo
🍼,Bebês 2–4 Anos,22 histórias,✅ Ativo
🏛️,Mitologia Grega,14 histórias,○ Desativado
🌸,Budismo & Hinduísmo,8 histórias,🛡️ Controle parental
🤖,Criar com IA,ilimitado,✦ Personalizar (card azul CTA)
